Asset,Timeframe,Date,Price,EMA21,ATR,RSI,RSI_Z_Score,ATR_Distance,Pct_Above_EMA,High,Low,Volume,Unnamed: 10,Unnamed: 11,Unnamed: 12
OIL,1w,2026-09-07,85.47000122070312,83.11950910166084,9.941469385771368,55.68465674974385,0.4900603754048363,0.2330475594670791,2.8278464880819665,79.58000183105469,77.93000030517578,29474.0,93.04000091552734,90.87000274658205,74871.0
ONDO,1d,2026-09-10,0.349839985370636,0.3620080461988678,0.02053013138048921,45.78464255503546,-1.207498072610931,-0.5926927890873461,-3.361268059093725,0.372366338968277,0.360471099615097,242705824.0,0.3608041703701019,0.3480762243270874,129606008.0
ONDO,1w,2026-09-07,0.388590008020401,0.3595475812153094,0.066450787443046,52.20818932416732,0.9839848710737,0.4370516576644548,8.077491915513685,0.3924820125102997,0.3051550090312958,803682851.0,0.3942374587059021,0.3798105120658875,150720272.0
PEAQ,1d,2026-09-10,0.02529051341116428,0.02429312047042708,0.002699360734705675,54.38855709725153,-1.366032177840625,0.3694922756761336,4.105660044584899,0.0177763476967811,0.0172627475112676,1130145.0,0.0283191129565239,0.02529051341116428,6025689.0
PEAQ,1w,2026-09-07,0.0290869772434234,0.0227753985277428,0.0065019532408389,55.32899130795071,2.462284875515015,0.970720409989634,27.712264652548,0.0188890006393194,0.0169769991189241,5863331.0,0.031006334349513,0.0257073231041431,6755680.0
RENDER,1d,2026-09-10,1.401600003242493,1.451566239413653,0.08016824741594732,45.74069767568616,-1.695326882702412,-0.6232671635181675,-3.442229146314642,1.4901307821273804,1.4612983465194702,17497936.0,1.468939065933228,1.392167687416077,38155016.0
RENDER,1w,2026-09-07,1.565400004386902,1.588909513086253,0.2587045708096818,47.47538997870625,0.6633516058496303,-0.0908739595352794,-1.4796002230288534,1.5531699657440186,1.4675170183181765,71438553.0,1.566191434860229,1.512990355491638,40897900.0
REZ,1d,2026-09-10,0.003276000032201409,0.003020241303671244,0.0002362707581397502,65.65397011923426,1.124323991705116,1.0824815163071853,8.468155449012581,0.0024133252445608,0.0023564805742353,4964789.0,0.00391848711296916,0.003047623205929995,64518328.0
REZ,1w,2026-09-07,0.0032053999602794,0.0033804289309714,0.0008263618807536,45.41712031929424,0.6243440119910829,-0.2118066851442955,-5.177714848208024,0.0025790000800043,0.0023564805742353,26921476.0,0.0033527873456478,0.0030455829109996,12136707.0
RIOT,1d,2026-09-09,22.38279914855957,20.56081695481613,1.645243721509354,57.50325724917833,1.815981816809729,1.1074238849378173,8.861428987706946,19.700000762939453,18.290000915527344,17583600.0,22.70000076293945,22.32999992370605,534033.0
RIOT,1w,2026-09-07,22.38279914855957,20.88581127530184,3.879519266265707,54.21317220608277,-0.4481597849355798,0.3858694262133874,7.167487312441473,21.56999969482422,18.290000915527344,77860171.0,22.8700008392334,21.64500045776367,15363488.0
